,Cause,Company Name,Cummulative Hrs,Date and Time,Depth,LT ID,LT Summary,LT Type,Object,Parent LT ID,Report Date,Rig Name,Time in Hrs,Well No
1032,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,ADC-60,Hrs,ABSF-216
1033, FOT, BAL, 72,08 Aug 0500 - 0500, 11253, 900636, BAKER ESP CABLE GROUNDED. DECISION MADE TO DE-COMPLETE ABSF-216 & CHANGE ESP ASSY. , TF, ESP, ,08/10/2022,ADC-60, 24,ABSF-216
1034,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,BB-84A,Hrs,MRJN-587
1035, GRF, RIG, 10.75,09 Aug 0115 - 1200, 6753, 900684, RIG LOST DRILLER CONTROL POWER , UPRA, PSYS, ,08/10/2022,BB-84A, 7,MRJN-587
1036,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,DPS-44,Hrs,UTMN-2342
1037, FOT, HDV, 37.5,09 Aug 0700 - 0500, 6325, 900681," AFTER DROPPING HAL FREE FALL DV OPENING PLUG, ATTEMPTED TO PRESSURE UP TO OPEN DV WITHOUT SUCCESS.", TF, DV, ,08/10/2022,DPS-44, 22,UTMN-2342
1038,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,DPS-5,Hrs,HRDH-2319
1039, FOT, BLH, 64.75,08 Aug 1100 - 0500, 14118, 900565," UNABLE TO GO DOWN W/ MSF LOWER COMPLETION ON 4.5"" BKR LNR/HGR, POOH TO SURFACE & FOUND BKR LINER HGR SLIPS  PREMATURE MECHANICAL SET.", TF, HGRL, ,08/10/2022,DPS-5, 24,HRDH-2319
1040,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,ED-85A,Hrs,ZULF-2063
1041, FOT, RIG, 17.25,10 Aug 0930 - 0245, 15237, 900736," OBSERVED LEAK IN WASH PIPE, CHC AND POH TO SHOE TO CHANGE IT.", RR, SWVL, ,08/10/2022,ED-85A, 17.25,ZULF-2063
1042,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,ENS-108,Hrs,ZULF-2014
1043, FOT, ENV, 477.25,21 Jul 0330 - 0500, 6135, 900310," WHILE RIH WITH 9-5/8"" CASING, ENCOUNTERED OBSTRUCTION W/ 10 KLBS S/O @6,135' (INSIDE LINER).", TF, EXPND, ,08/10/2022,ENS-108, 24,ZULF-2014
1044, FOT, RIG, 1,10 Aug 1445 - 1545, 7700, 900713, TDS SWIVEL PACKING FAILED, RR, SWVL, ,08/10/2022,ENSCO-76, 1,MRJN-853
1045,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,ENSCO-76,Hrs,MRJN-853
1046, IHFL, RIG, .5,10 Aug 1415 - 1445, 7700, 900712, REPAIR TDS HYDRAULIC SYSTEM (ELEVATORS WOULD NOT ROTATE), RR, HSYS, ,08/10/2022,ENSCO-76, .5,MRJN-853
1047, FOT, RIG, 1,10 Aug 1445 - 1545, 7700, 900713, TDS SWIVEL PACKING FAILED, RR, SWVL, ,08/10/2022,ENSCO-76, 1,MRJN-853
1048,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,MP-1,Hrs,MRJN-78
1049, FOT, NRT, 221.5,31 Jul 0245 - 0500, 9345, 900303, NOV BULLNOSE & 4 INTERNAL HOUSING PARTS LOST IN HOLE DURING REAMING TRIP., BHA, UNDR, ,08/10/2022,MP-1, 24,MRJN-78
1050,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,NBR-115S,Hrs,SDGM-1221
1051, FOT, RIG, 15,09 Aug 0100 - 1600, 1958, 900682, PIPE GRAPPLE MALFUNCTIONING., RR, TDS, ,08/10/2022,NBR-115S, 11,SDGM-1221
1052, FOT, RIG, 1.5,10 Aug 0000 - 0130, 0, 900752," DELAY DURING MU BOP TEST ASSY DUE TO TDS ROTATION FAILUE BECAUSE OF ELEC. FAULT ON DRIVE HOUSE.TROUBLESHOOING TDS DRIVE HOUSE, FIXED SAME", RR, TDS, ,08/10/2022,NBR-263S, 1.5,QTIF-736
1053,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,NBR-263S,Hrs,QTIF-736
1054, STBH, ARM, 187.25,29 Jul 0230 - 2200, 13970, 900313,"  GOT STG STUCK AFTER OPEN BOP FOR WELL OBSERVATION, WELL STATIC, TRIED TO MOVE STG W/O SUCCESS & WORK ON STUCK, CUT PIPE.", STUK, BHA, ,08/10/2022,NBR-263S, 17,QTIF-736
1055, FOT, RIG, 1.5,10 Aug 0000 - 0130, 0, 900752," DELAY DURING MU BOP TEST ASSY DUE TO TDS ROTATION FAILUE BECAUSE OF ELEC. FAULT ON DRIVE HOUSE.TROUBLESHOOING TDS DRIVE HOUSE, FIXED SAME", RR, TDS, ,08/10/2022,NBR-263S, 1.5,QTIF-736
1056,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,NBR-591S,Hrs,HRDH-2259
1057, FOT, SDM, 23,09 Aug 1830 - 1730, 10776, 900675," WHILE DRLG. @ 10,776' COMPLETELY LOST SIGNAL/COMMUNICATION WITH SLB MWD @ SURFACE", BHA, MWD, ,08/10/2022,NBR-591S, 12.5,HRDH-2259
1058,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,NBR-654S,Hrs,HRDH-1150
1059, FOT, PKP, 172,02 Aug 1915 - 0500, 12809, 900388," FAIL TO SET THE LINER HANGER, CMT PLUG WAS NOT BUMPED AND GOT BACKFLOW, FAIL TO SET LINER TOP PACKER, POOH R&R TOOL DAMAGED.

INVESTIGATION AT WORKSHOP ATTENDED BY DTD CONCLUDED IMPROPER MAKE UP OF LH BALL SEATS. 
BACK FLOW IS SUSPECTED FROM LEAK IN THE SETTING TOOL.", TF, HGRL, ,08/10/2022,NBR-654S, 24,HRDH-1150
1060,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,NBR-783S,Hrs,NJYN-93
1061, FOT, CRT, 5.25,10 Aug 2345 - 0500, 15392, 900739, LTTT PACKER FAILED MEAWHILE NEGATIVE TEST, TF, PCPD, ,08/10/2022,NBR-783S, 5.25,NJYN-93
1062,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,NBR-987S,Hrs,JLMN-35
1063, OTH, RIG, 45,09 Aug 0800 - 0500, 264, 900629, DAMAGED TDS DUE TO PACKOFF WHILE DRILLING CEMENT, UPRA, NA, ,08/10/2022,NBR-987S, 24,JLMN-35
1064,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,PN-7,Hrs,MRJN-776
1065, FOT, BHI, 10.5,10 Aug 1730 - 0400, 2598, 900738," WHILE FILLING UP STRING, OBSERVED ABNORMAL PRESSURE.", BHA, MWD, ,08/10/2022,PN-7, 10.5,MRJN-776
1066,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,PN-9,Hrs,MRJN-672
1067, FOT, RIG, 3.25,10 Aug 1600 - 1915, 8339, 900732," UNABLE TO MIX CASING GO PILL. MIXING HOPPERS NOT FUNCTIONING CORRECTLY DUE TO CIRCULATING LINE BLOCKED & HOPPER CHARGING PUMPS WITH NO SUCTION.
", RR, CSYS, ,08/10/2022,PN-9, 3.25,MRJN-672
1068,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SINO-15L,Hrs,ANDR-566
1069, FOT, SPS, 25,09 Aug 2230 - 2330, 7881, 900691," LWD FAILURE, TROUBLESHOOT TOOLS, NO SUCCESS.", BHA, LWD, ,08/10/2022,SINO-15L, 18.5,ANDR-566
1070,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SINO-28L,Hrs,SHYB-255
1071, FOT, RIG, 18.25,10 Aug 1045 - 0500, 1030, 900742," TDS CONTROL ROOM OVER HEATING ISSUES DUE TO A/C.
1 X A/C BROKEN COMPRESSOR FAILURE
1 X A/C OVERLOADED DUE TO COMPENSATING FOR BROKEN A/C", RR, TDS, ,08/10/2022,SINO-28L, 18.25,SHYB-255
1072,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SINO-29N,Hrs,SFNY-2005
1073, PCPF, ARM, 135.75,05 Aug 0500 - 2045, 6825, 900602," HOLE NOT STABLE (SHALE CAVINGS), DIFFICULTY IN RIH OR POH WITH REAMING BHA, INCREASED MW TO CONTROL SHALE, CLEARED BHA MANY TIMES WITH SWEEPS, ROTATION  & PIPE MOVEMENT.... EVENTUALY BECAME STUCK AT WINDOW WHILE ATTEMTING TO POH. PACKED OFF ABOVE DLR AT WINDOW DURING PUMPING OUT OF HOLE AND BACK REAMING OPERATIONS.", TH, NA, ,08/10/2022,SINO-29N, 15.75,SFNY-2005
1074,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SINO-32L,Hrs,SHYB-198
1075, HERR, TK2, 6,10 Aug 1130 - 1730, 11798, 900737, WIS L-3 WPS LOCKING PIN HEAD BROKE DUE TO OVER TORQUE. DECISION MADE TO RUN BAKER WPS., JF, NA, ,08/10/2022,SINO-32L, 6,SHYB-198
1076,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SND-2008,Hrs,HRDH-1812
1077, STDP, RIG, 689,07 Jul 0500 - 0500, 12837, 899514," WHILE WORK ON STRG DUE TO STUCK, GOT FREE W/ 120 KLBS WITH STRING TWISTED OFF AT 2ND DC ABOVE MILL.", STUK, DP, ,08/10/2022,SND-2008, 24,HRDH-1812
1078,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SND-2010,Hrs,MNIF-869
1079, WTHR, ARM, 2.5,10 Aug 0900 - 1130, 3141, 900661, WHILE RIH UPPER COMPLETION HAD BAD AND DUSTY WEATHER WITH HIGH WIND SPEED 40-45 KM/HR, WON, NA, ,08/10/2022,SND-2010, 2.5,MNIF-869
1080,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SP-120,Hrs,MNIF-187
1081, PCPF, ARM, 88.75,07 Aug 1200 - 0500, 5758, 900604," UNABLE TO PASS TIGHT HOLE W/ 9-5/8"" CSG AT 5758', POOH & L/D CSG, RIH REAMING BHA.", TH, NA, ,08/10/2022,SP-120, 24,MNIF-187
1082,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SP-123,Hrs,KRSN-124
1083, FOT, RIG, 3.5,10 Aug 2145 - 0115, 0, 900743, EXCESSIVE TIME WHILE OPENING RAM BONNET BOLTS., BOP, RAMS, ,08/10/2022,SP-123, 3.5,KRSN-124
1084,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SP-124,Hrs,FDHL-106
1085, FOT, TIL, 97.25,06 Aug 0345 - 0500, 10321, 900615," PERFORMD CEMENT JOB FOR 7"" LINER , HAD NO BUMP PLUG , HAD RETRUN AND CEMENT U-TUBE AFTRE FINISHED THE JOB DUE TO FLOAT EQUIPMENT FAILEUR .", TF, HGRL, ,08/10/2022,SP-124, 24,FDHL-106
1086,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SP-167,Hrs,HRDH-218
1087, ORDS, ARN, 14.5,10 Aug 0800 - 2230, 7167, 900735, LOST TIME ON GOC DUE TO WRONG PLACEMENT OF WELL, WO, NA, ,08/10/2022,SP-167, 14.5,HRDH-218
1088,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SP-260,Hrs,HMYM-531812
1089, STBH, ARM, 227,01 Aug 1800 - 0500, 5095, 900366, ENCOUNTERED TIGHT HOLE AND DRILL STRING BECAME STUCK WITH CIRCULATION, STUK, BHA, ,08/10/2022,SP-260, 24,HMYM-531812
1090, TOST, RIG, 48,06 Aug 1900 - 1645, 9617, 900628," 7"" WHIPSTOCK DROPPED IN HOLE WHILE RIH DUE SHEARED BOLT BY EXCESSIVE SLACKOFF WEIGHT", JF, STRG, ,08/10/2022,SSA-102, 11.75,QTIF-693
1091,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SSA-102,Hrs,QTIF-693
1092, FOT, WI3, 48,06 Aug 1500 - 0500, 9617, 900488," 7"" WHIPSTOCK DROPPED IN HOLE WHILE RIH DUE SHEARED BOLT BY EXCESSIVE SLACKOFF WEIGHT, WIS SERVICE HAND WASN'T IN RIG FLOOR TO WITNESS THE JOB", TF, WPSTK, ,08/10/2022,SSA-102, 11.75,QTIF-693
1093, TOST, RIG, 48,06 Aug 1900 - 1645, 9617, 900628," 7"" WHIPSTOCK DROPPED IN HOLE WHILE RIH DUE SHEARED BOLT BY EXCESSIVE SLACKOFF WEIGHT", JF, STRG, ,08/10/2022,SSA-102, 11.75,QTIF-693
1094, EXPL, HWP, 23,09 Aug 1500 - 1500, 3220, 900680," WORK ON STRING WITH OVERPULL AND SLACK OFF WHILE WAITING ON BAKER WIRELINE SINCE HALLIBURTON WIRELINE ( ASSIGNED COMPANY) NOT HAVING ENOUGH 9-1/2"" DC DCST ( ONLY ONE ).", WO, NA, ,08/10/2022,SSA-5969, 9.5,UTMN-3148
1095,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/10/2022,SSA-5969,Hrs,UTMN-3148
1096, STBH, ARM, 83.25,06 Aug 1315 - 0500, 3220, 900580," 16"" ROTARY BHA STUCK @ 3,220' ( TOP OF SHU'AIBA FM ) AND WORKING ON STUCK", STUK, BHA, ,08/10/2022,SSA-5969, 14,UTMN-3148
1097, EXPL, HWP, 23,09 Aug 1500 - 1500, 3220, 900680," WORK ON STRING WITH OVERPULL AND SLACK OFF WHILE WAITING ON BAKER WIRELINE SINCE HALLIBURTON WIRELINE ( ASSIGNED COMPANY) NOT HAVING ENOUGH 9-1/2"" DC DCST ( ONLY ONE ).", WO, NA, ,08/10/2022,SSA-5969, 9.5,UTMN-3148
1098,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/11/2022,ADC-17,Hrs,ZULF-1218
1099, WTHR, ARM, 5.5,11 Aug 0530 - 1100, 0, 900748," WAIT ON WEATHER, HIGH WIND SPEED", WON, NA, 900662,08/11/2022,ADC-17, 5.5,ZULF-1218
1100,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/11/2022,ADC-21,Hrs,MZLJ-155201
1101, XTRI, RIG, 7.25,11 Aug 1915 - 0230, 19221, 900780, EXCESSIVE TIME TO NIPPLE DOWN BOP & DSA. DUE TROUBLE REMOVING NUTS & STUDS., JF, BOP, ,08/11/2022,ADC-21, 7.25,MZLJ-155201
1102,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/11/2022,ADC-32,Hrs,ANDR-1010
1103, OTH, RIG, 67.25,09 Aug 0600 - 0115, 8932, 900677," WHILE DRILLING 16"" SECTION OBSERVED TDS MOTOR GROUNDED, DECISION MADE TO POOH TO 18-5/8"" CSG SHOE TO L/D TDS AND REPLACE TDS MOTOR.", UPRA, NA, ,08/11/2022,ADC-32, 20.25,ANDR-1010
1104,12705, ,OTH,C,  4145,LINR,"CONT. RIH WITH 4 1/2"" TOT OB- LINER ASSY ON 4-1/2"" TBG (11.6#, J-55, NEW VAM ) TO 4,249 FT (103/103 JTS).- FILL STRING WITH 79 PCF MUD EVERY JTS.",12705, ,ARM,08/11/2022,ADC-53L,CSG,HRDH-530
1105,12705, ,RCSG,C,  4145,HGRL,"HPJSM , P/U & M/U 7"" X 4-1/2"" TOT LINER HANGER & TOP PACKER. RIH TO 4,352 FT.- VISUALLY INSPECTED PACKER & LINER HANGER DIES.- RECORD FREE PARAMETERS P/U 99 KLB & S/O 99 KLB.",12705, ,TOT,08/11/2022,ADC-53L,CSG,HRDH-530
1106,12705, ,CIRC,C,  4145,MPMP,"CIRCULATE 1.2 LINER CAPACITY : 80 BBLS.  FR: 4 BPM, SPP: 450 PSI.- R/D TESCO TBG HANDLING EQUIPMENT.- HPJSM FOR DRIFT 4"" HWDP & 4"" DP.",12705, ,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1107,12705, 5315,RCSG,C,  4145,STRG,"CONT. RIH WITH 4-1/2"" OBL ON DRIFTED 4"" HWDP F/ 4,352 FT TO TOW @ 5,315 FT.- RIH CONTROLLED SPEED 1.5 - 2 MIN SLIP TO SLIP.",12705, 4352,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1108,12705, ,CIRC,C,  4145,MPMP,BREAK CIRCULATION WITH 100 GPM & PRESS: 400 PSI & RECORD P/U: 119 KLBS & S/O WT: 118 KLBS.,12705, ,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1109,12705, 9300,RCSG,C,  4145,CTRQ,"CONT. RIH WITH 4-1/2"" OBL ON DRIFTED 4"" HWDP & 4"" DP F/ 5,315 FT TO TBR @ 9,300 FT.- RIH CONTROLLED SPEED 1.5 - 2 MIN SLIP TO SLIP.",12705, 5315,TSC,08/11/2022,ADC-53L,CSG,HRDH-530
1110,12705, ,OTH,C,  4145,LINR,"HPJSM M/U TOT CMT MANIFOLD. TOT DROP 1.5"" BALL & CHASE DOWN. SET LINER HNGR @ 1500 PSI, CONFIRM HANGER SET WITH 30 KLB'S S/O, OK. SET BOTH I-PACK PKRS @ 1800 PSI, RELEASE RUNNING TOOL @ 2500 PSI & OPEN PORT COLLAR @ 3100 PSI, ESTABLISH CIRCULATION.- P/U: 180 KLB & S/D: 150 KLB WEIGHT.",12705, ,TK3,08/11/2022,ADC-53L,CSG,HRDH-530
1111,12705, ,CIRC,C,  4145,MPMP,CIRCULATE HOLE TO 79 PCF WBM.,12705, ,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1112,12705, ,PTST,C,  4145,MPMP,"HPJSM , P/T CMT LINES TO 500 PSI / 4000 PSI, OK.",12705, ,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1113,12705, ,CIRC,C,  4145,MPMP,"CIRCULATE MEANWHILE BATCH MIXED TAIL SLURRY 125 PCF.- FR : 3 BPM , PRESS: 490 PSI.",12705, ,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1114,12705, ,CMC,C,  4145,LINR,"PERFORMED CMT JOB FOR 4 1/2"" OFF BTTM LINER AS BELOW:- PUMPED 110 BBL 90 PCF SPACER AHEAD.- PUMPED  106 BBL 125 PCF CEMENT SLURRY.- DROPPED DP DART.- DISPLACED WITH 108 BBLS , 79 PCF WBM- BUMP PLUG WITH 3500 PSI , 2200 PSI OVER FDP (1300 PSI) 5 MIN, PRESSURE HOLD. BLEED-OFF PRESSURE TO 0 PSI, NO BACK FLOW.- HAD 70 BBL'S LOSSES DURING CMT JOB. - CIP @ 23:00 HRS",12705, ,SCM,08/11/2022,ADC-53L,CSG,HRDH-530
1115,12705, ,OTH,C,  4145,LINR,R/D CMT HEAD AND LINES,12705, ,ARM,08/11/2022,ADC-53L,CSG,HRDH-530
1116,12705, 4548,RCSG,C,  4145,STRG,POOH 5 STDS ,12705, 5012,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1117,12705, ,CIRC,C,  4145,MPMP,"NORMAL CIRCULATION , FR: 300 GPM , P: 1060 PSIGOT ON SURFACE 20 BBLS CONTAMINATED SPACER AND 50 BBLS NEAT SPACER",12705, ,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1118,12705, ,RR,C, ,DWKS,PERFORM SLIP & CUT DRILLING LINE.- CUT 130 FT DRILLING LINE,12705, ,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1119,12705, 2334,RCSG,C,  4145,STRG,"POOH WITH 4 1/2"" LINER SETTING TOOL ON 4"" DP  STDS TO 2,334 FT...ON GOING ART.- MONITOR WELL ON TRIP TANK, LEVEL STATIC.",12705, 4548,RIG,08/11/2022,ADC-53L,CSG,HRDH-530
1120, 24, OOS,Category,DOOS ID, RLIN,Out of Scope Summary," RIH 4-1/2"" OFF BTTM LINER.", 22, 4145,10 Aug 0300,08/11/2022,ADC-53L,Type,HRDH-530
1121,,,,,,,,,,,,,,
1122,,,,,,,,,,,,,,
1123,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/11/2022,ADC-55L,Hrs,UTMN-3171
1124, STBH, TK3, 286,30 Jul 0830 - 0500, 12245, 900335, PU STRING AFTER DROP PBL BALLS FOUND STRING STUCK., STUK, BHA, ,08/11/2022,ADC-55L, 24,UTMN-3171
1125,7019, 6340,LOG,E,  3965,WLT," SLB WL TAKING SAMPLING WHILE POOH AS PER RMD REQUEST.SAMPLE #12 IN PROGRESS............. AT RPT.- SCAN AROUND 6,343 FT FOR SAMPLE #12.- PERFORM STICK TEST 3, 8, 15, 30 MIN PRIOR 1ST POINT IN THE FORMATION & THEN 5, 15 MIN FOR SUBSEQUENT SAMPLE POINT. - MAX STATIONARY TIME: 4 HRS.- SAMPLE #9 @ 6,395 FT , TOTAL 1 SESSION.- SAMPLE #10 @ 6,380 FT , TOTAL 1 SESSION.- SAMPLE #11 @ 6,360 FT , TOTAL 2 SESSION.- TOTAL 12 SAMPLES OUT OF 13 TOTAL & 6 PUMP OUT ONE OUT OF 6 .- TOTAL PUMP OUT 688 L AT RPT, OVERBALANCE AFTER PUMP OUT 513 PSI.- MONITOR WELL ON TRIP TANK.",7019, 6395,SWL,08/11/2022,ADC-57L,LOG,KRSN-175
1126, 237.25, OOS,Category,DOOS ID, FPFS,Out of Scope Summary," MDT LOGGING , FLUID SAMPLING AND RELATED OPERATIONS, C/O AND DISPACE MUD WITH OBM", 24, 3965,02 Aug 0115,08/11/2022,ADC-57L,Type,KRSN-175
1127,,,,,,,,,,,,,,
1128,,,,,,,,,,,,,,
1129,13523, ,STIM,C,  4125,CTU,"RIH W/ 2 3/8"" CT F/12900 FT TO BTM @13523 FT MEANWHILE PUMPING PRE FLUSH @ PR 2 BPM & CIRC. PRESS : 1100 PSI ( COMPLETED STAGE 1 & 2, TOTAL PRE-FLUSH PUMPED VOLUME 745 BBLS).- PERFORMED PULL TESTS EVERY 500 FT INSIDE OPEN HOLE.",13523, ,SCT,08/11/2022,ADC-58L,STIM,ABHD-169
1130,13523, ,STIM,C,  4125,CTU,"POOH WITH SLB 2 3/8"" CT F/15523 FT (BTM) T/9640 FT (TOW) WHILE PUMPING 15 BBLS OF 15% EMULSIFIED ACID FOLLOWING BY 48 BBLS OF 15% HCL ACID PER EACH STAGE (TOTAL 18 STAGES) WITH CHOKE CLOSED.- SLB CT FOLLOWED THE MATRIX ACID STIMULATION TREATMENT PUMPING SCHEDULE AS PROGRAM.- STOPPED 30 FT BELOW TOP OF WINDOW TILL ALL ACID PUMPED OUT OF COIL TBG NOZZLES.- TOTAL PUMPED VOLUME 272 BBLS OF 15% EMULSIFIED HCL & 907 BBLS OF 15% HCL.- CT-SPEED 6 FPM, PUMPING RATE: 2 BPM, CIRC. PRESS : 1250-1700 PSI, WHP: 0 PSI.",13523, ,SCT,08/11/2022,ADC-58L,STIM,ABHD-169
1131,13523, ,STIM,C,  4125,CTU,"POOH WITH SLB 2-3/8"" CT T/9540 FT ( 100 FT ABOVE TOW) AND PUMPED 745 BBLS OF POST -FLUSH & DISPLACED W/77 PCF BRINE AT FR 3 BPM, CIRC. PRESS 1200 PSI & WHP : ZERO.",13523, ,SCT,08/11/2022,ADC-58L,STIM,ABHD-169
1132,13523, ,OTH,C,  4125,NA,"POOH WITH SLB 2-3/8"" CT F/9540 FT TO SURCAE MEANWHILE RIG PUMPED 900 BBL 1.2 HOLE VOLUME OF 77 PCF BRINE ( CACL2) THRU CT KILL LINE @ 4 BPM. (SPP:20 PSI, WHP: 0 PSI).",13523, ,SCT,08/11/2022,ADC-58L,STIM,ABHD-169
1133,13523, ,OTH,C,  4125,NA,"PUMPED 600 BBLS OF 77 PCF BRINE THRU CT KILL LINE @ 5 BPM ( SPP:30 PSI, WHP: 0 PSI ).",13523, ,RIG,08/11/2022,ADC-58L,STIM,ABHD-169
1134,13523, ,OTH,C,  4125,NA,"CLOSED GATE VALVE & FLUSHED REEL WITH 80 BBLS OF WATER.- CONTINUOUSLY PUMPING 77 PCF BRINE INTO ANNULUS AT 2 BPM THROUGH BOP KILL LINE, WELL IN  TOTAL LOSSES.",13523, ,SCT,08/11/2022,ADC-58L,STIM,ABHD-169
1135,13523, ,OTH,C,  4125,NA,"HELD PJSM DISCONNECTED 4 1/16"" 10K FLANGE BETWEEN C/T BOP & 4 1/16"" 10K RISER, LIFTED C/T INJECTOR BY TDS, L/D CT BHA, L/D 4 1/16"" RISER.---- INCT@RPT.- CONTINUOUSLY PUMPED 77 PCF BRINE INTO ANNULUS AT 2 BPM THROUGH KILL LINE, WELL ON  TOTAL LOSSES.",13523, ,SCT,08/11/2022,ADC-58L,STIM,ABHD-169
1136, 68, OOS,Category,DOOS ID, STIM,Out of Scope Summary, PERFORM ACID STIMULATION JOB FOR L-1., 24, 4125,09 Aug 0030,08/11/2022,ADC-58L,Type,ABHD-169
1137,,,,,,,,,,,,,,
1138,,,,,,,,,,,,,,
1139, FOT, RIG, 1.5,11 Aug 0130 - 0300, 11253, 900787, INTERLOCK SYSTEM NOT FUNCTIONING PROPERLY. UNABLE TO APPLY TORQUE - PIPE GRABBER SLIPPING. , RR, TDS, ,08/11/2022,ADC-60, 1.5,ABSF-216
1140,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/11/2022,ADC-60,Hrs,ABSF-216
1141, FOT, BAL, 94.5,08 Aug 0500 - 0500, 11253, 900636, BAKER ESP CABLE GROUNDED. DECISION MADE TO DE-COMPLETE ABSF-216 & CHANGE ESP ASSY. , TF, ESP, ,08/11/2022,ADC-60, 22.5,ABSF-216
1142, FOT, RIG, 1.5,11 Aug 0130 - 0300, 11253, 900787, INTERLOCK SYSTEM NOT FUNCTIONING PROPERLY. UNABLE TO APPLY TORQUE - PIPE GRABBER SLIPPING. , RR, TDS, ,08/11/2022,ADC-60, 1.5,ABSF-216
1143,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/11/2022,ADES-173,Hrs,UTMN-1952
1144, FOT, BAW, 13,11 Aug 1600 - 0500, 11811, 900746, BAKER WIRELINE TOOLS LOST COMMUNICATION. , TF, WLT, ,08/11/2022,ADES-173, 13,UTMN-1952
